Date,Close,High,Low,Open,Volume
,^TWII,^TWII,^TWII,^TWII,^TWII
2026-01-23,31961.509765625,32042.439453125,31693.150390625,31788.76953125,7178200
2026-01-26,32064.51953125,32196.75,31989.859375,32002.560546875,6470200
2026-01-27,32317.919921875,32428.169921875,32095.080078125,32095.080078125,7511200
2026-01-28,32803.8203125,32803.8203125,32381.759765625,32381.759765625,7408400
2026-01-29,32536.26953125,32996.03125,32472.44921875,32828.01953125,7939900
2026-01-30,32063.75,32555.51953125,32004.9609375,32555.51953125,8004400
2026-02-02,31624.029296875,32008.4609375,31359.94921875,32008.4609375,6128700
2026-02-03,32195.359375,32293.830078125,31737.66015625,31737.66015625,6083600
2026-02-04,32289.810546875,32380.0,31942.279296875,32196.5703125,5481900
2026-02-05,31801.26953125,32241.640625,31769.080078125,32241.640625,5843100
2026-02-06,31782.919921875,31842.619140625,31164.279296875,31746.439453125,5482300
2026-02-09,32404.619140625,32666.05078125,31956.2109375,31956.2109375,4854000
2026-02-10,33072.96875,33072.96875,32439.7109375,32439.7109375,4429000
2026-02-11,33605.7109375,33707.828125,33071.671875,33086.1484375,5334200
2026-02-23,33773.26171875,34212.37890625,33663.01953125,33663.01953125,6847600
2026-02-24,34700.8203125,34786.421875,33987.51171875,34020.7109375,6653800
2026-02-25,35413.0703125,35521.5390625,34753.30859375,34753.30859375,8280600
2026-02-26,35414.48828125,35579.33984375,35171.51953125,35457.76171875,8684700
2026-03-02,35095.08984375,35345.71875,34605.359375,35277.48046875,7852100
2026-03-03,34323.6484375,35264.58984375,34323.6484375,35106.21875,8829900
2026-03-04,32828.87890625,34228.75,32828.87890625,34228.75,7817200
2026-03-05,33672.94140625,34319.6796875,33472.91015625,33620.73828125,5789800
2026-03-06,33599.5390625,33829.48828125,33322.51953125,33483.94140625,5479700
2026-03-09,32110.419921875,32354.609375,31529.359375,32354.609375,6749000
2026-03-10,32771.87109375,33256.69140625,32455.19921875,32692.369140625,6268300
2026-03-11,34114.19140625,34218.66015625,33128.48828125,33128.48828125,5854600
2026-03-12,33581.859375,34019.48046875,33458.640625,33816.1484375,7553100
2026-03-13,33400.3203125,33639.1796875,33013.4609375,33215.78125,6795000
2026-03-16,33342.51171875,33765.80859375,33278.05859375,33541.25,6288500
2026-03-17,33836.5703125,34008.69921875,33380.83984375,33380.83984375,6564400
2026-03-18,34348.578125,34423.66015625,33929.28125,33929.28125,7008700
2026-03-19,33689.6796875,34279.12109375,33663.78125,34279.12109375,6675700
2026-03-20,33543.87890625,33989.1796875,33379.23828125,33719.8515625,7825000
2026-03-23,32722.5,33334.0,32461.08984375,33334.0,5505600
2026-03-24,32612.240234375,33361.4609375,32434.5390625,33062.890625,5184200
2026-03-25,33439.109375,33705.75,32725.26953125,32725.26953125,4540400
2026-03-26,33337.62109375,33892.55859375,33337.62109375,33575.6015625,5141000
2026-03-27,33112.58984375,33267.25,32669.390625,33267.25,4967400
2026-03-30,32518.16015625,33009.6796875,32326.369140625,33009.6796875,5026000
2026-03-31,31722.990234375,32453.380859375,31705.990234375,32419.0,5862700
2026-04-01,33174.8203125,33182.21875,31892.330078125,31892.330078125,4716000
2026-04-02,32572.4296875,33497.578125,32516.939453125,33218.01953125,5332000
2026-04-07,33229.8203125,33264.21875,32671.51953125,32671.51953125,4475300
2026-04-08,34761.37890625,34761.37890625,33379.5,33379.5,5671700
2026-04-09,34861.16015625,34884.44921875,34617.33984375,34779.9609375,6586300
2026-04-10,35417.828125,35417.828125,34950.87109375,34950.87109375,6752000
2026-04-13,35457.2890625,35552.48828125,35261.73046875,35422.91015625,5566000
2026-04-14,36296.12109375,36341.44140625,35584.08984375,35584.08984375,7184600
2026-04-15,36722.140625,37064.16015625,36369.109375,36369.109375,7050400
2026-04-16,37132.01953125,37135.55078125,36751.08984375,36759.53125,6694200
2026-04-17,36804.33984375,37145.66015625,36776.28125,37145.66015625,6808300
2026-04-20,36958.80078125,37344.5,36850.23828125,36850.23828125,6458900
2026-04-21,37605.109375,37781.828125,37051.25,37051.25,6360500
2026-04-22,37878.46875,38096.87890625,37623.37890625,37627.19921875,6248000
2026-04-23,37714.1484375,38921.94921875,37164.44140625,37971.69140625,8516700
2026-04-24,38932.3984375,38989.94140625,37862.6484375,37862.6484375,5653800
2026-04-27,39616.62890625,40194.921875,39607.73828125,39858.19140625,5805300
2026-04-28,39521.73046875,40101.23046875,39521.73046875,39531.9296875,5020400
2026-04-29,39303.5,39548.1796875,38896.30078125,39176.23828125,5009300
2026-04-30,38926.62890625,39848.21875,38926.62890625,39571.4609375,5678600
